,cell_line_id,drug_id,labels
1,22RV1_PROSTATE,17-AAG,-1.1095669969794946
2,42MGBA_CENTRAL_NERVOUS_SYSTEM,17-AAG,-2.9367448688935007
3,5637_URINARY_TRACT,17-AAG,-2.6475744374234216
4,639V_URINARY_TRACT,17-AAG,-1.8964902232273884
5,697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-0.8613972262813395
6,769P_KIDNEY,17-AAG,-1.8851993191901932
7,786O_KIDNEY,17-AAG,-1.2746448455438961
8,8305C_THYROID,17-AAG,-0.9797598037431753
9,8505C_THYROID,17-AAG,-1.2652280280549695
10,8MGBA_CENTRAL_NERVOUS_SYSTEM,17-AAG,-1.448371363881104
11,A172_CENTRAL_NERVOUS_SYSTEM,17-AAG,-1.3186410098563677
12,A204_SOFT_TISSUE,17-AAG,-3.5174206169398894
13,A2058_SKIN,17-AAG,-3.1583233232994274
14,A253_SALIVARY_GLAND,17-AAG,-1.0801491963837824
15,A2780_OVARY,17-AAG,-3.470229214622381
16,A375_SKIN,17-AAG,-1.7735037141927015
17,A549_LUNG,17-AAG,-2.7066251170170657
18,A673_BONE,17-AAG,-1.6187182821613504
19,ACHN_KIDNEY,17-AAG,-0.388223224365969
20,ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-0.33637717174002196
21,AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-3.671376527928006
22,AN3CA_ENDOMETRIUM,17-AAG,-2.599184782797861
23,ASPC1_PANCREAS,17-AAG,-2.6267899564661663
24,AU565_BREAST,17-AAG,-3.7572182538381815
26,BCPAP_THYROID,17-AAG,-1.5576551401104228
27,BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-1.5879485858662188
28,BFTC909_KIDNEY,17-AAG,-2.2571083550204496
30,BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-0.26867778335059544
31,BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-1.2574089438442706
32,BT20_BREAST,17-AAG,2.0794415416798357
33,BT474_BREAST,17-AAG,-3.107183902434178
34,BT549_BREAST,17-AAG,-3.8923559265339223
35,BXPC3_PANCREAS,17-AAG,-1.6748503032846118
36,C2BBE1_LARGE_INTESTINE,17-AAG,-0.25224066238902504
37,C32_SKIN,17-AAG,-5.009603776293719
39,CAKI2_KIDNEY,17-AAG,-0.8665741041475084
40,CAL12T_LUNG,17-AAG,-1.6936838350019778
41,CAL27_UPPER_AERODIGESTIVE_TRACT,17-AAG,-1.7908471874836167
42,CAL78_BONE,17-AAG,-2.306726928565185
43,CAL851_BREAST,17-AAG,-1.741028863219922
44,CALU1_LUNG,17-AAG,-2.268245639211489
45,CALU3_LUNG,17-AAG,0.5240522269215406
46,CALU6_LUNG,17-AAG,-1.6956654748684508
47,CAMA1_BREAST,17-AAG,-1.9586747804297944
48,CAPAN2_PANCREAS,17-AAG,-3.0763835697132706
49,CAS1_CENTRAL_NERVOUS_SYSTEM,17-AAG,0.019340507790308933
50,CCK81_LARGE_INTESTINE,17-AAG,-1.3345558352625824
52,CHP212_AUTONOMIC_GANGLIA,17-AAG,-3.5134880219243865
53,CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-0.7356455544192
55,COLO201_LARGE_INTESTINE,17-AAG,-3.061190727032929
57,COLO320_LARGE_INTESTINE,17-AAG,0.4505460562364776
59,COLO678_LARGE_INTESTINE,17-AAG,-3.2098775064410314
60,COLO679_SKIN,17-AAG,-2.770084771741999
62,COLO741_SKIN,17-AAG,0.39194084819201064
63,CORL105_LUNG,17-AAG,-0.11960691654138308
64,CORL23_LUNG,17-AAG,-0.49595546464447277
65,COV318_OVARY,17-AAG,2.0794415416798357
67,DAOY_CENTRAL_NERVOUS_SYSTEM,17-AAG,-0.7383185427987088
68,DBTRG05MG_CENTRAL_NERVOUS_SYSTEM,17-AAG,-1.287333706957625
69,DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,17-AAG,-3.3482719793875733
70,DETROIT562_UPPER_AERODIGESTIVE_TRACT,17-AAG,-1.431335154771839
71,DKMG_CENTRAL_NERVOUS_SYSTEM,17-AAG,-1.139660736952083
72,DMS114_LUNG,17-AAG,-0.36353680561231166
